space	start	end	width	names	peak	strand	feature	start_position	end_position	insideFeature	distancetoFeature	shortestDistance	fromOverlappingOrNearest
1	12826233	12826391	159	MACS_peak_10 ENSMUSG00000016918	MACS_peak_10	+	ENSMUSG00000016918	12708610	12850458	inside	117623	24067	NearestStart
1	102774716	102774910	195	MACS_peak_101 ENSMUSG00000077039	MACS_peak_101	+	ENSMUSG00000077039	102758370	102758478	downstream	16346	16238	NearestStart
1	104990650	104990792	143	MACS_peak_103 ENSMUSG00000076971	MACS_peak_103	+	ENSMUSG00000076971	104077304	104077369	downstream	913346	913281	NearestStart
1	108411002	108411160	159	MACS_peak_104 ENSMUSG00000054006	MACS_peak_104	+	ENSMUSG00000054006	108438520	108471622	upstream	-27518	27360	NearestStart
1	109875100	109875263	164	MACS_peak_105 ENSMUSG00000077237	MACS_peak_105	+	ENSMUSG00000077237	109789551	109789682	downstream	85549	85418	NearestStart
1	127641486	127641631	146	MACS_peak_111 ENSMUSG00000026343	MACS_peak_111	+	ENSMUSG00000026343	127573570	127770436	inside	67916	67916	NearestStart
1	128025828	128026027	200	MACS_peak_112 ENSMUSG00000080559	MACS_peak_112	+	ENSMUSG00000080559	127939847	127939917	downstream	85981	85911	NearestStart
1	134097558	134097791	234	MACS_peak_116 ENSMUSG00000065435	MACS_peak_116	+	ENSMUSG00000065435	134094665	134094761	downstream	2893	2797	NearestStart
1	134367737	134367937	201	MACS_peak_117 ENSMUSG00000026439	MACS_peak_117	+	ENSMUSG00000026439	134373944	134401466	upstream	-6207	6007	NearestStart
1	134747533	134747654	122	MACS_peak_118 ENSMUSG00000026443	MACS_peak_118	+	ENSMUSG00000026443	134777190	134836561	upstream	-29657	29536	NearestStart
1	13064710	13064841	132	MACS_peak_12 ENSMUSG00000069620	MACS_peak_12	+	ENSMUSG00000069620	13052235	13052429	downstream	12475	12281	NearestStart
1	135427410	135427533	124	MACS_peak_123 ENSMUSG00000064814	MACS_peak_123	+	ENSMUSG00000064814	135497800	135497932	upstream	-70390	70267	NearestStart
1	136085854	136086004	151	MACS_peak_125 ENSMUSG00000042451	MACS_peak_125	+	ENSMUSG00000042451	136090025	136097808	upstream	-4171	4021	NearestStart
1	136354989	136355106	118	MACS_peak_126 ENSMUSG00000026455	MACS_peak_126	+	ENSMUSG00000026455	136352108	136387595	inside	2881	2881	NearestStart
1	13074915	13075020	106	MACS_peak_13 ENSMUSG00000069620	MACS_peak_13	+	ENSMUSG00000069620	13052235	13052429	downstream	22680	22486	NearestStart
1	137114230	137114433	204	MACS_peak_130 ENSMUSG00000079139	MACS_peak_130	+	ENSMUSG00000079139	137128743	137129801	upstream	-14513	14310	NearestStart
1	137404477	137404645	169	MACS_peak_131 ENSMUSG00000054412	MACS_peak_131	+	ENSMUSG00000054412	137481350	137496527	upstream	-76873	76705	NearestStart
1	137450350	137450491	142	MACS_peak_132 ENSMUSG00000054412	MACS_peak_132	+	ENSMUSG00000054412	137481350	137496527	upstream	-31000	30859	NearestStart
1	137528970	137529083	114	MACS_peak_133 ENSMUSG00000054412	MACS_peak_133	+	ENSMUSG00000054412	137481350	137496527	downstream	47620	32443	NearestStart
1	138509921	138510028	108	MACS_peak_137 ENSMUSG00000041483	MACS_peak_137	+	ENSMUSG00000041483	138521478	138526630	upstream	-11557	11450	NearestStart
1	138571388	138571570	183	MACS_peak_138 ENSMUSG00000041483	MACS_peak_138	+	ENSMUSG00000041483	138521478	138526630	downstream	49910	44758	NearestStart
1	138576910	138577015	106	MACS_peak_139 ENSMUSG00000041483	MACS_peak_139	+	ENSMUSG00000041483	138521478	138526630	downstream	55432	50280	NearestStart
1	13075077	13075324	248	MACS_peak_14 ENSMUSG00000069620	MACS_peak_14	+	ENSMUSG00000069620	13052235	13052429	downstream	22842	22648	NearestStart
1	138591637	138591835	199	MACS_peak_140 ENSMUSG00000041483	MACS_peak_140	+	ENSMUSG00000041483	138521478	138526630	downstream	70159	65007	NearestStart
1	142325948	142326212	265	MACS_peak_143 ENSMUSG00000052726	MACS_peak_143	+	ENSMUSG00000052726	142142793	142508640	inside	183155	182428	NearestStart
1	142410125	142410279	155	MACS_peak_144 ENSMUSG00000052726	MACS_peak_144	+	ENSMUSG00000052726	142142793	142508640	inside	267332	98361	NearestStart
1	153082761	153082888	128	MACS_peak_145 ENSMUSG00000023150	MACS_peak_145	+	ENSMUSG00000023150	153191628	153211575	upstream	-108867	108740	NearestStart
1	154884921	154885093	173	MACS_peak_149 ENSMUSG00000042751	MACS_peak_149	+	ENSMUSG00000042751	154802128	154964443	inside	82793	79350	NearestStart
1	154887303	154887552	250	MACS_peak_150 ENSMUSG00000042751	MACS_peak_150	+	ENSMUSG00000042751	154802128	154964443	inside	85175	76891	NearestStart
1	158928164	158928314	151	MACS_peak_155 ENSMUSG00000073531	MACS_peak_155	+	ENSMUSG00000073531	158973680	158974325	upstream	-45516	45366	NearestStart
