space	start	end	width	names	peak	strand	feature	start_position	end_position	insideFeature	distancetoFeature	shortestDistance	fromOverlappingOrNearest
1	19234791	19234953	163	MACS_peak_10 ENSMUSG00000025927	MACS_peak_10	+	ENSMUSG00000025927	19198995	19228815	downstream	35796	5976	NearestStart
1	163899326	163899435	110	MACS_peak_101 ENSMUSG00000026698	MACS_peak_101	+	ENSMUSG00000026698	163899319	163903566	inside	7	7	NearestStart
1	165709520	165709737	218	MACS_peak_102 ENSMUSG00000026585	MACS_peak_102	+	ENSMUSG00000026585	165709810	165847231	upstream	-290	73	NearestStart
1	165950038	165950155	118	MACS_peak_103 ENSMUSG00000041396	MACS_peak_103	+	ENSMUSG00000041396	165925018	165927374	downstream	25020	22664	NearestStart
1	166307302	166307438	137	MACS_peak_104 ENSMUSG00000026575	MACS_peak_104	+	ENSMUSG00000026575	166237803	166334805	inside	69499	27367	NearestStart
1	168065279	168065422	144	MACS_peak_106 ENSMUSG00000000544	MACS_peak_106	+	ENSMUSG00000000544	168060591	168096640	inside	4688	4688	NearestStart
1	168094786	168095108	323	MACS_peak_107 ENSMUSG00000000544	MACS_peak_107	+	ENSMUSG00000000544	168060591	168096640	inside	34195	1532	NearestStart
1	169023806	169023961	156	MACS_peak_108 ENSMUSG00000060568	MACS_peak_108	+	ENSMUSG00000060568	168931606	169021136	downstream	92200	2670	NearestStart
1	20965055	20965183	129	MACS_peak_11 ENSMUSG00000041809	MACS_peak_11	+	ENSMUSG00000041809	20941769	20980920	inside	23286	15737	NearestStart
1	174240309	174240438	130	MACS_peak_113 ENSMUSG00000038034	MACS_peak_113	+	ENSMUSG00000038034	174241902	174249972	upstream	-1593	1464	NearestStart
1	174348428	174348619	192	MACS_peak_115 ENSMUSG00000050229	MACS_peak_115	+	ENSMUSG00000050229	174306687	174310664	downstream	41741	37764	NearestStart
1	180780766	180781020	255	MACS_peak_119 ENSMUSG00000026494	MACS_peak_119	+	ENSMUSG00000026494	180728569	180862986	inside	52197	52197	NearestStart
1	31290636	31290783	148	MACS_peak_12 ENSMUSG00000026063	MACS_peak_12	+	ENSMUSG00000026063	31279684	31281132	downstream	10952	9504	NearestStart
1	182818834	182819108	275	MACS_peak_121 ENSMUSG00000066652	MACS_peak_121	+	ENSMUSG00000066652	182823239	182829226	upstream	-4405	4131	NearestStart
1	182854947	182855209	263	MACS_peak_122 ENSMUSG00000038793	MACS_peak_122	+	ENSMUSG00000038793	182865190	182868531	upstream	-10243	9981	NearestStart
1	182863899	182864153	255	MACS_peak_123 ENSMUSG00000038793	MACS_peak_123	+	ENSMUSG00000038793	182865190	182868531	upstream	-1291	1037	NearestStart
1	188746775	188746919	145	MACS_peak_126 ENSMUSG00000039224	MACS_peak_126	+	ENSMUSG00000039224	188791295	188794506	upstream	-44520	44376	NearestStart
1	190678209	190678386	178	MACS_peak_128 ENSMUSG00000084550	MACS_peak_128	+	ENSMUSG00000084550	190584355	190584458	downstream	93854	93751	NearestStart
1	194339412	194339570	159	MACS_peak_131 ENSMUSG00000064881	MACS_peak_131	+	ENSMUSG00000064881	194571765	194571880	upstream	-232353	232195	NearestStart
1	35754787	35754890	104	MACS_peak_15 ENSMUSG00000064601	MACS_peak_15	+	ENSMUSG00000064601	35818447	35818551	upstream	-63660	63557	NearestStart
1	36001275	36001447	173	MACS_peak_16 ENSMUSG00000045216	MACS_peak_16	+	ENSMUSG00000045216	36125245	36163289	upstream	-123970	123798	NearestStart
1	37042724	37042961	238	MACS_peak_18 ENSMUSG00000070201	MACS_peak_18	+	ENSMUSG00000070201	37062284	37062402	upstream	-19560	19323	NearestStart
